Id,Comments,Label
郭连凯,《北京折叠》还没开拍，漫威已经把《伦敦折叠》拍出来了。,1
Velox,外表光鲜内里脆弱不堪的电影。最大的问题就是为了推进剧情，搞了一堆幼稚不讲理说什么就是什么的魔法逻辑，导致故事和人物遭遇毫无真实感和说服力，带动不起观众该有的情绪，让人除了冷漠就是想笑。除此之外还有中看不中用的迷之盗梦空间特效，和又笨又尴尬的搞笑桥段。,2
玻璃芦苇,答应我一定要去看3D的好吗？,3
L'automne,我看过的第一部文戏多过动作的漫威片子，主角终于不再以肌肉或砸钱取胜，而是以智商烦CRY大反派！！人物build up很有力，一个不相信玄幻的科学家为何能变成一个有脑的魔法术士，这个心理转变过程铺设得具有说服力。台词很棒，浅入深出地讲解背后蕴藏的很多哲学观点，又不失幽默。I come to bargain!!!,4
坐等1900,这个片只适合用来测试屏幕分辨率 全程在秀电脑特效 剧情也是电脑自己写的吧,5
桃桃淘电影,三星半。视觉部分非常突出，比如时间倒流、镜像世界、扭曲的空间等设定，都非常过瘾，是视觉的想象力，他构成影片最亮眼的一环。然后，就没有了。,6
静。,"读博好辛苦啊再也不要来一遍了！是Doctor不是Mister不是Master！
简直笑点暴击Hhhhhh",7
同志亦凡人中文站,特效比故事好看，在“盗梦空间”里打架，漫威应该有给诺兰版权费吧。一个绝对唯心主义＋周身开挂＋作弊无限次的故事。看片尾彩蛋，洛基要出场了？,8
史提pho,剧情已经套路到一定境界了，笑点大部分都很刻意看得尴尬，不过这部视效特别LSD还是很有看头的，有段直接穿越到2001太空漫游。麦叔的角色真是一言难尽，反正漫威的反派你们也懂的,9
牛腩羊耳朵,3.5 一片看尽实习医生格蕾，哈利波特，盗梦空间，学会时间简史，太极武术，道家玄学，漫威IP开发技术已然甩DC十条街，腕表广告植入不能更自然。特效虽说色彩上略显艳俗，不过LSD效果让人只想留在病毒世界。东西方气质合体的斯文顿帅酷炫到没有朋友，一人hold住所有时间哲学气场，打出太极拳新风采。,10
七色光,漫威又玩出了新意思，特效真是没得说，魔法世界神秘魔幻，时空穿梭维度切割实在太酷，卷福和斗篷超配。,11
方聿南,已经没落很多年的港产黑帮片，竟然在漫威得到了复活。高潮搬到香港，入乡随俗拍了一段原汁原味的港产帮派戏：叛变的小弟杀了原来的老大，新入门的小弟上位成新老大，两个堂口当街劈友，然后双方老大见面讲数，划分新地盘，腥风血雨暂告一段落。古惑仔会魔法，复联也要敬他们三分。,12
王大根,试图统治世界的黑暗邪恶组织就仨人，守护地球的金轮法王协会就四人（别的都是吃屎的群众演员），最后整个世界全人类的命运基本上就取决于一场3V3的魔法球赛……身为人类的一员真的被强行守护了好多次哦??,13
卡瑞尔,比我想象中好看很多（因为预告片就跟大杂烩似的），卡司应该是漫威“最有逼格”的了吧？。难得看BC这么顺眼，竟然还能卖肉:) Tilda女王对阵Mads男神，都好气势。期待下部！（那么贵的积家表碎的时候好心疼）[超粒方形容视觉效果的感受太生动了：像磕了药搭上彩虹做成的云霄飞车穿过一个万花筒。],14
方枪枪,《盗梦空间》的空间幻想+《明日边缘》（土拨鼠之日）的时间概念+《超体》的物质与意识；然后永远的客串王斯坦·李；逗趣好玩的斗篷估计会是又一萌物；“我可能不会赢，但我输得起”；坚持到最后，双彩蛋，锤哥啤酒，哈哈哈。（最后，安全第一，开车不要接打电话。）,15
大奇特(Grinch),佛法教理+空间悖论，这不是科幻电影，这是宗教电影啊，里面有密宗法门，有佛眼看到的世界，有一分一秒过刹那不停歇。再通过埃舍尔空间悖论来展现一切众生世界。它的故事只是用来支撑这个概念的，用宗萨钦哲的话说“电影是当代唐卡”。,16
栗色雪,作为漫威作品来说，这集确实花活繁多。对时间和空间的改造、表现和重塑都优于复仇者系列，融入和很多现代艺术的概念，把《盗梦空间》中的视觉奇观成倍放大。略有新意。,17
木卫二,一个特效大法师的养成。被热评的空间折叠，说实话挺表面，因为折叠坍塌这件事，并没有对追逐打斗中的人物造成哪怕是折手断脚的真实伤害影响，而是充当障碍眼的奇观背景。当然，我也从没有想过，要在漫威系列获取爆米花以外的营养。,18
影志,卷福作法的动作真的不是在纺棉花吗？,19
陀螺凡达可,3.5 足够眼花缭乱和酷炫的视觉奇观，可惜叙事还是不温不火虎头蛇尾的漫威套路。康伯巴奇很不错，终于摆脱了福尔摩斯的影子，但斯文顿更抢戏，气场抵十个康伯巴奇。,20
Amberose,特效做得超级棒！最喜欢的角色是——斗篷,21
王小扁死于江湖,全片笑点十足，大披风非常炫酷，对镜像世界、时空穿梭轮回等等看似很高深烧脑的内容的处理也很直观，让人易于接受。作为超级英雄起源电影，在娱乐性上实在无可指责，算是非常精彩成功。,22
臭兰人,本尼留胡子还真是很帅的，特效场景都看得人血脉喷张，特别喜欢其中时空扭转的部分，真是不负所望！人物塑造也很饱满，正反派能引发对其个性的思考，还有不少笑料，值得一看。,23
伊谢尔伦的风,学医救不了地球人。,24
萨库拉,邪教笑话片？这应该还不是东方被黑得最惨的一次。没有过硬内核承载的视觉只是绣花枕头。虽然不爱诺兰，也必须承认在他之后的玩弄空间都是东施效颦。,25
更深的白色,甜腻特效愈发显示出想象力和创造力的匮乏，这故事中二无趣到像是14岁的JJ Abrams写的。哪怕是当漫威宇宙的资料片看都不够格，从设定到电影风格上都很难融入。雷生春堂身兼小精灵道场和邪教圣所，每天经过真是失敬了呢。,26
何倩彤,只能說，當代的荷里活演員個個都是默劇大師。想到Kaecilius及其部屬在召喚黑暗力量時的現場是一群人圍著圈用手勢在跳パラパラ是有點忍俊不禁。的確是一個病態的工作環境，為他們的想像力和投入致敬！（還有片末那些數之不盡的特效師動畫師！）,27
奔跑忘记忧伤,故事很完整，扭转时空之类的超现实科幻烧脑元素通过超强的视觉效果也进行了很好的诠释。有点盗梦空间的感觉。,28
Hey Johnny,中国影院什么时候能安静滴等字幕都出完彩蛋都放完再亮灯？！再打扫卫生？！再退场？！真是无力吐槽。,29
胖虎,除了特效，故事可看性几乎为0...斯文顿气场太强几乎秒了卷福（卷福表现一般）！双彩蛋，锤哥出场噜！另外，瑞秋.麦克亚当斯：专注时空旅行者女友一百年（《时间旅行者的妻子》 、《时空恋旅人》、《午夜巴黎》、《奇异博士》！）,30
Reader,沒什麼可說的，除了Tilda。我仰慕她。如果有幸做她的門生，我自信能學得更好(討她歡心)，即便不能更好，至少更有戲。她的角色溫潤沖和，比德如玉，如水，天大的事到來，臉上只許添一絲笑紋，心事全憑手上輕搖的檀香扇透露。看她演的角色示寂，雖捨不得，卻為她歡喜：縱有續集，也與她(也與我)無關了。,31
艾小柯,脑洞大开的惊喜，空间扭曲和时间循环的视效都做得不错，搞笑桥段也挺到位。最后靠死缠烂打耍无赖制胜也算超级英雄的新境界了。漫威系列中值四星。,32
浪漫的忧伤,完美的视觉效果成功的与漫威世界融合，营造出一段有趣迷幻的冒险。虽然还是熟悉的漫威套路，却让你看的惊喜连连。阵容也很完美，都很贴合角色，卷福和汉拔尼对决很爽。,33
小波尔卡,很赏心悦目的漫威电影，有熟悉的品牌味道，华丽迷幻的视效描绘出一个难以想象的魔法世界，太合我胃口了，演员很讨喜，本尼棒呆。个人喜欢这个新片更甚蚁人和蜘蛛侠2。,34
文白,特效满分，剧情……零分。,35
晚安好运?,目前漫威系列中视觉效果最好的一部，把纪念碑谷里的建筑扔进万花筒里也就这种感觉了。看到最后我不禁想，要是普罗米修斯每次受罚时能话唠几句烦一烦宙斯，可能早就被宙斯放了吧,36
张天翼,在“怎样把IP开发得宾主尽欢”这件事上漫威永远走在最前端。三星给服化道摄录美！仙姑穿什么都冒仙气，小扇子嗲得死。但私人非常不喜欢“西医技穷后乞灵于东方神秘力量”这种设定。【锤哥每次被各种聪明人（他弟，他同事）一衬就显得可傻了Orz,37
卢十四,在测试环境里怎么乱搞都行，但不要随便上线。最后是令恶意代码陷入死循环自己跑挂了？,38
半胱氨酸,漫威上映以来最强阵容了吧（雷神3可与之一战否）。盗梦空间+伦敦折叠，故事讲得很精彩。不过漫威的通病就是，总把反派塑造地有些弱智。,39
出路,福卷一如既往的天才荧幕形象。却要抛弃他天才的知识，在屏幕上和几个常年不睡觉且戴着史上最大的黑眼圈的长生不老追求者们玩烟花玩都市积木。故事流畅精彩，幽默功底比隔壁DC高到不知道哪里去了。遗憾的是大boss没有什么幽默感，时间循环多好玩啊，换我就和福卷天天见面，在循环里过上幸福生活。,40
亵渎电影,视觉效果很惊人的爆米花大片。,41
张小北,结尾的时间逆转大战是漫威电影最佳决战场景之一。,42
近地面的风,漫威粉真是最大的水军,43
噗呲噗呲好多鱼,漫威的魔法世界，脑洞开得很合胃口。虽然剧情延续传统，但是特效足够抢眼，片尾彩蛋再加一星。,44
伊卡洛斯,感受到了片里大量的关于生命与死亡、修行与心魔、原则与妥协、规则与突破、恐惧与热爱……深得我心,45
恶魔的步调,埃舍尔大电影。总感觉奇异博士会在从师之地遇见蝙蝠侠，长脸本遇面瘫本，然后他们发现他们师父居然是CP。长脸本喊错台词I'm the Doctor，然后塔迪斯登场了……wifi梗很多人狂笑，因为看过预告片，我不太狂；斯坦李登场搞笑的时候我狂笑，发现周围很安静，太尴尬了。,46
芥末蘸酱,最大的问题是所有的奇观都是已知的，这与电影的表达是相违背的，另外就是太赶了，同样与斯文顿那番话相冲突，这两点是败在根子里的，漫威改不了了。漫威：我们不生产想象力，我们只是 想象力的搬运工。,47
A-sun*,不是我一个人期待伦敦圣殿的门牌号是Baker Street 221B。,48
CyniCyniCyniC,……真不好意思承认，但这是我最喜欢的一部Marvel出品。一个自大狂超越自我和生命樊篱，蜕变成推石头的西西弗斯，“我是来谈条件的”一遍一遍看得眼眶湿湿。该片的特效与内核不是表里关系，宏大与渺小的对比本身就是主题。Tilda Swinton无疑贡献了漫威宇宙中最为沉重的一场死亡。,49
米米米妮,一个博士走向气功大师的堕落之路。,50
pi,《物理化学》考题：一博士试图完成《推翻热力学第二定律，制造第二类永动机》这一诺奖级课题。期间导师被人发现从外界偷取能量，即一直在伪造实验数据。丑闻曝光后，导师以离职为代价换取该博士的毕业。现在问题来了，该博士及其导师所处的世界是什么体系？a孤立体系，b开放体系，c封闭体系，d以上皆错,51
麦当劳善良狗熊,可以可以，DC坟头上一把新土,52
笑挽冷风,其实真没那么奇异，只是脑洞开大些，画面好看些，特效漂亮些，总得来说就是赏心悦目些,53
CharlesChou,经历过胡博士S9E11洗礼的人表示心情平静,54
欢乐分裂,自天地鸿蒙，人类便开始追逐永生，而永生的全部秘密在于超越时间，一切取决于时间；以比盗梦空间更浅显更娱乐的形式演绎博尔赫斯之“时间是永远交叉着的，直到无可数计的将来。在其中的一个交叉里，我是您的敌人”；不无猎奇的东方神玄学，精彩纷呈的空间折叠，漫威届清流。,55
黑貓十一,想想我给美队3这剧情都打了四星于是这部也四星吧……①理性讨论纽约是不是现今世界上福尔摩斯最多的城市。②loki怎么跟他哥解释我还活着咱爹没死找人去地球这件事？③啊星球大战你是世间万物！④师傅钦点的西皮就是要决裂的啊！⑤学医救不了地球人！⑥好女怕磨，反派也是。⑦唯有披风恒久远。,56
你看看！,终于！在大银幕上看见我们家老麦了！那小眼泪儿流的！那身姿矫健的！还有羽管键琴的配乐总是出戏到汉尼拔！虽然被大boss坑到灰飞烟灭比较不爽 但是我的妈！完全不能从花痴的状态中清醒过来啊！我爱IMAX 我爱漫威！【迫不及待想看比利林恩了 想想120帧普及到这样的特效上 那场面 不就是钱吗给你都给你,57
李荷西,sherlock上身的奇异博士，台词比别人多一倍。,58
小岩井,一场车祸拯救地球。这都是命运石之门的安排。,59
乌鸦火堂,漫威电影最简单的故事，却有最炫目的特效，角色成长极快，30分钟就入道成功，第一个敌人就是大boss，就像按了加速键。好在娱乐效果足够，五维空间式特效如万花筒，大银幕效果极佳，披风抢镜，多玛姆从火焰头变成斑马头，几处笑料也不错，月光宝石在手，法师秒变唐僧,60
李小丢,4D厅一生黑，前排人的头一个赛一个的长……我全程都在锻炼颈椎。还是IMAX好，视觉效果没得说，啊，最搞笑的莫过于医院打来的电话里需要抢救的伤员一个是从天上摔下去粉碎性骨折的战争机器，一个是被自家男友幻视的闪电击中的精神分裂的小铝孩绯红女巫，复联内部撕逼真可怕。,61
CyberKnight电子骑士,故事很老套无新意，角色塑造也很欠缺（幸亏有卷福、斯温顿这样的戏骨当主角），但特效（哦不，世界观）设定和效果实在太炫太神奇！在商业动作大片一水儿金属质感、暴力格斗让人牙酸的今天，此片的华丽神秘美学确实令人耳目一新。影片涉及了《众妙之门》、分形等等结构、符号，并不简单是动作场面好看。,62
影评人鬼鬼,折叠城市、奇幻魔法，视觉冲击动作盛宴。这应该能让习惯了近战肉搏的漫威粉以及近日接连看了几部好莱坞B级片的观众感到莫大惊喜了。剧情走超级英雄套路难免，然而并没有人care咯。故事性上，个人认为好于钢铁侠、复联等，差于蚁人。,63
大唐咕噜,特效无与伦比，故事情节还算跌宕起伏。演员与角色之间非常契合，特别是卷福和仙姑，几乎融入在角色当中，部分台词也非常有哲理。唯一槽点就是多玛姆太TM水了，希望后面能卷土重来。,64
羚羊的灵魂,反派像搞传销的  结果口才不行安利失败了  友情提示 结尾双彩蛋  自动续杯这个功能真是羡慕cry,65
CO & RAY,"BFI, 午休 with 海叔，和我男神一起看女神的电影，老子奏是这么屌。",66
弗朗索瓦张。,很少看现在层出不穷的超级英雄电影，但这一部的文艺卦实力派铁三角真的不让人失望。斯文顿贡献了人生中最酷的一个角色，无愧于“the coolest person on earth”的名号。故事的背景，想法，视觉效果，均不落俗套。除了最后boss令人失望，几近完美。,67
白左圣母鱼饼饼,三百年前的东方想象是恻隐之心，责任和意志，三百年后是神秘符号和超能力。三百年前的政治是关于美德与公共福祉，三百年后是到底哪个政客是被邪教控制的。人类可能曾经有过一个队自己充满自信的时代，也可能从来没有过。#电影还是好看的#,68
掉线,【B】大体的故事框架很没劲，但剧本的整体完成度很高，有许多小聪明的情节序列，倒也不算糟糕。视觉效果真的很炫，明显从一些例如cyriak等超现实视频里汲取了元素,69
苍山老翁,视效比前几部漫威电影多了些创意，有点耳目一新的感觉。剧情没大纰漏却也没大惊喜。观看途中偶有瞬回哈利波特魔法世界的既视感，这是要提前为神奇动物在哪里预热了？,70
